Cast,Country,Date Added,Description,Director,Duration (In minutes),Genre,Month Added,Rating,Release Year,Seasons,Show Id,Title,Type,Year,Number of Records
"Abhishek Bachchan, Kangana Ranaut, Anupam Kher, Boman Irani, Jimmy Shergill, Shahana Goswami, Gauhar Khan, Sarah-Jane Dias",India,12/15/2019 12:00:00 AM,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit.",Abhinay Deo,135,"International Movies, Thrillers",12,TV-MA,2011,,70181734,Game,Movie,2019,1
"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",India,12/15/2019 12:00:00 AM,"Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage.",Reema Kagti,140,"Dramas, International Movies, Thrillers",12,TV-MA,2012,,70262614,Talaash,Movie,2019,1
"Joey Rasdien, David Kau, David Kibuuka, Chris Forrest, Santhiran Moonsamy, Quentin Krog, Kaseran Pillay, Mabutho Sithole, Mel Miller, Kagiso Lediga, Craig Urbani",South Africa,12/27/2019 12:00:00 AM,"Caught between family pressures and small-time crime-fighting, a pair of bumbling cops tries to bust a massive drug deal and go down in history.",Andrew Wessels,102,"Action & Adventure, Comedies, International Movies",12,TV-MA,2013,,81228864,Blitz Patrollie,Movie,2019,1
"Naseeruddin Shah, Randeep Hooda, Shernaz Patel, Elena Kazan, Sharat Saxena, Vipin Sharma, Denzil Smith, Kenneth Desai, Sushil Pandey",India,12/31/2019 12:00:00 AM,"A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud.",Ahishor Solomon,125,"International Movies, Thrillers",12,TV-MA,2013,,70295531,John Day,Movie,2019,1
"Adil Hussain, Mona Singh, K.K. Raina, Sanjay Mishra, Anil Rastogi, Ravi Jhankal, Kulbhushan Kharbanda, Ekavali Khanna, Mukesh Tiwari, Vinod Acharya",India,12/31/2019 12:00:00 AM,A philandering small-town mechanic's political ambitions are sparked when the visiting prime minister mistakenly grants him special security clearance.,Chandra Prakash Dwivedi,131,"Comedies, Dramas, International Movies",12,TV-MA,2014,,81213884,Zed Plus,Movie,2019,1
"Omoni Oboli, Alexx Ekubo, Chinedu Ikedieze, Joseph Benjamin, Yvonne Jegede, Anthony Monjaro, Taiwo Familoni, Jude Chukwuka, Emilyn Johnson-Ekpo, Udoka Oyeka",,12/20/2019 12:00:00 AM,"Dreaming of a better life, an imperiled prostitute crosses paths with a wealthy company heir who’s been transformed into a child by his evil uncle.",Omoni Oboli,107,"Dramas, International Movies",12,TV-MA,2015,,80126996,The First Lady,Movie,2019,1
"Emilian Oprea, Mihai Constantin, Andreea Vasile, Dan Condurache, Liviu Pintileasa, Mihai Smarandache, Alin Florea, Lucretia Mandric","Romania, Bulgaria, Hungary",12/1/2019 12:00:00 AM,A young prosecutor is assigned a career-making case involving a colleague but soon starts to question the motivations behind the charges.,Tudor Giurgiu,126,"Dramas, International Movies, Thrillers",12,TV-MA,2015,,81149202,Why Me?,Movie,2019,1
"Omoni Oboli, Kenneth Okonkwo, Kalu Ikeagwu, Uche Jumbo, Ufoma Ejenobor, Julius Agu, Udoka Oyeka, Chioma Chukwuka-Akpotha, Kehinde Bankole",Nigeria,12/6/2019 12:00:00 AM,"A group of local women band together to save a terrified young girl from marriage, launching a hilarious strike against their frustrated husbands.",Omoni Oboli,92,"Comedies, Dramas, International Movies",12,TV-MA,2016,,80126997,Wives on Strike,Movie,2019,1
"Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore",Nigeria,12/13/2019 12:00:00 AM,A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,Robert O. Peters,99,"Comedies, International Movies",12,TV-MA,2016,,81172747,A Trip to Jamaica,Movie,2019,1
,Nigeria,12/13/2019 12:00:00 AM,An unapologetic lothario sets out to seduce three ex-flames – but gets an unexpected education in love along the way.,Omoni Oboli,110,"Comedies, International Movies, Romantic Movies",12,TV-MA,2016,,81172903,Okafor's Law,Movie,2019,1
"Ramsey Nouah, Omoni Oboli, Dorcas Shola Fapson, Sambasa Nzeribe, Jemima Osunde, Dozie Onyiriuka, Rotimi Adelagan, Seyilaw",Nigeria,12/13/2019 12:00:00 AM,"When a couple leaning toward divorce meets with a pastor for counseling, an unexpected development shakes up their marriage.",Bunmi Ajakaiye,100,"Comedies, International Movies, Romantic Movies",12,TV-MA,2017,,81172757,My Wife and I,Movie,2019,1
"O.C. Ukeje, Joselyn Dumas, Joke Silva, Blossom Chukwujekwu, Kemi Lala Akindoju, Chris Attoh, Nikki Samonas, Adjetey Anang, Victoria Micheals",Ghana,12/15/2019 12:00:00 AM,A divorced couple decides to continue sharing a home but their already-delicate cohabiting scheme unravels when they begin dating other people.,Shirley Frimpong-Manso,104,"Comedies, Dramas, International Movies",12,TV-MA,2017,,81213149,Potato Potahto,Movie,2019,1
"Ivie Okujaye, Sambasa Nzeribe, Tope Tedela, Gina Castel, Majid Michel, Victor Erabie, Brutus Richard, Adebayo Thomas",Nigeria,12/6/2019 12:00:00 AM,"Desperate to leave a life of prostitution, a teenage mother attempts to outsmart her ruthless boss who is determined to keep his prized asset.",Eric Aghimien,115,"Dramas, International Movies",12,TV-MA,2017,,81172758,Slow Country,Movie,2019,1
"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas, Anurag Arora, Jameel Khan, Priyanka Setia",India,12/31/2019 12:00:00 AM,"Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident.",Remy Kohli,126,"Dramas, Independent Movies, International Movies",12,TV-MA,2017,,81221913,Kuldip Patwal: I Didn't Do It!,Movie,2019,1
,,12/15/2019 12:00:00 AM,New filmmaker Téo Frank travels the U.S. to create this documentary about underground hip-hop artists doing exceptional work outside the music industry.,Téo Frank,65,"Documentaries, International Movies, Music & Musicals",12,TV-MA,2018,,81213152,Underdogs,Movie,2019,1
"Falz, Adunni Ade, Bisola Aiyeola, Frank Donga",,12/20/2019 12:00:00 AM,"Playing multiple characters, from lawyer to preacher, Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show.",Falz,82,"International Movies, Music & Musicals",12,TV-MA,2018,,81172866,Falz Experience,Movie,2019,1
"Odunlade Adekola, Jide Kosoko, Adunni Ade, Eniola Ajao, Ireti Osayemi, Kayode Olaseinde, Tunde Bernard, Bolaji Amusan",,12/27/2019 12:00:00 AM,A newspaper seller bemoans his lack of success but is undermined by his own laziness when he gets a better job as a driver and finds his rich father.,Odunlade Adekola,103,"Comedies, International Movies",12,TV-MA,2018,,81172726,The Vendor,Movie,2019,1
"Jimmy Shergill, Kay Kay Menon, Jackie Shroff, Shriya Saran, Pankaj Tripathi, Mahie Gill, Jameel Khan, Deep Raj Rana",,12/31/2019 12:00:00 AM,India's highlands descend into bullet-riddled mayhem as the longtime rivalries and ruthless revenge missions among four men come to a head.,Karan Lalit Butani,108,"Dramas, International Movies, Thrillers",12,TV-MA,2018,,81213877,Phamous,Movie,2019,1
"Mahesh Bhatt, Kay Kay Menon, Avii, Nikhil Ratnaparkhi, Neha Khan, Alisha Khan, Irfan Hussein, Jyoti Malshe, Sayed Gul",India,12/31/2019 12:00:00 AM,"Struggling with Mumbai's pressures and private battles with depression, six lives intersect just as they reach a breaking point.",Tariq Khan,121,"Dramas, International Movies",12,TV-MA,2018,,81213879,The Dark Side of Life: Mumbai City,Movie,2019,1
"Mostafizur Noor Imran, Orchita Sporshia, Allen Shubhro, Shamol Mawla, Sarder Saniat Hossain, Manoj Kumar Pramanik, Trapa Majumder, Intekhab Dinar, Iresh Zaker, Lutfur Rahman George",Bangladesh,12/16/2019 12:00:00 AM,Eleven emerging Bangladeshi filmmakers present a collection of gritty shorts centered on the capital city and the people living in its margins.,"Nuhash Humayun, Syed Ahmed Shawki, Rahat Rahman, Robiul Alam Robi, Golam Kibria Farooki, Mir Mukarram Hossain, Tanvir Ahsan, Mahmudul Islam, Abdullah Al Noor, Krishnendu Chattopadhyay, Syed Saleh Ahmed Sobhan",136,"Comedies, Dramas, Independent Movies",12,TV-MA,2018,,81048551,"Sincerely Yours, Dhaka",Movie,2019,1
"Martin Scorsese, Robert De Niro, Al Pacino, Joe Pesci",United States,12/5/2019 12:00:00 AM,"Join director Martin Scorsese as he sits down with stars Robert De Niro, Al Pacino and Joe Pesci for an intimate, intriguing look inside ""The Irishman.""",,24,Documentaries,12,TV-MA,2019,,81212801,The Irishman: In Conversation,Movie,2019,1
"Gregorio Duvivier, Fábio Porchat, Antonio Tabet, Evelyn Castro, Rafael Portugal, Robson Nunes, João Vicente de Castro, Estevam Nabote, Thati Lopes, Karina Ramil, Sura Berditchevsky, Fábio de Luca",Brazil,12/3/2019 12:00:00 AM,"Jesus, who's hitting the big 3-0, brings a surprise guest to meet the family. A Christmas special so wrong, it must be from comedians Porta dos Fundos.",Rodrigo Van Der Put,46,"Comedies, International Movies",12,TV-MA,2019,,81078397,The First Temptation of Christ,Movie,2019,1
Tiffany Haddish,United States,12/3/2019 12:00:00 AM,"On her 40th birthday, Tiffany Haddish drops a bombastic special studded with singing, dancing and raunchy reflections on her long road to womanhood.",Linda Mendoza,56,Stand-Up Comedy,12,TV-MA,2019,,80221271,Tiffany Haddish: Black Mitzvah,Movie,2019,1
Michelle Wolf,United States,12/10/2019 12:00:00 AM,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.",Lance Bangs,60,Stand-Up Comedy,12,TV-MA,2019,,81036542,Michelle Wolf: Joke Show,Movie,2019,1
Ronny Chieng,United States,12/17/2019 12:00:00 AM,"Ronny Chieng (""The Daily Show,"" ""Crazy Rich Asians"") takes center stage in this stand-up special and riffs on modern American life and more.",Sebastian DiNatale,63,Stand-Up Comedy,12,TV-MA,2019,,81070659,Ronny Chieng: Asian Comedian Destroys America!,Movie,2019,1
"Jack Whitehall, Michael Whitehall, Hugh Bonneville, Graham Norton, Layton Williams, Andrew Lloyd Webber, Tim Rice, Tan France, Antoni Porowski, Jonathan Van Ness",United Kingdom,12/12/2019 12:00:00 AM,"Jack Whitehall invites his notoriously stuffy father onstage in London's West End for a Christmas comedy extravaganza, complete with celebrity guests.",Richard van't Riet,65,Stand-Up Comedy,12,TV-MA,2019,,81060232,Jack Whitehall: Christmas with My Father,Movie,2019,1
"Vincenzo Crea, Jessica Cressy, Greta Scarano, Maya Sansa, Abel Ferrara, Anita Kravos",Italy,12/26/2019 12:00:00 AM,"While in Rome to shoot his first movie, actor and industrial heir Nick becomes obsessed with a dating app that sends him into a self-destructive spiral.",Elisa Fuksas,79,"Dramas, Independent Movies, International Movies",12,TV-MA,2019,,81150338,The App,Movie,2019,1
"Nandita Das, Manav Kaul, Saurabh Shukla, Kishore Kadam, Omkar Das Manikpuri, Amarjeet Amle, Yusuf Hussain, Sushma Bakshi",India,12/31/2019 12:00:00 AM,"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society.",Soumitra Ranade,85,"Dramas, Independent Movies, International Movies",12,TV-MA,2019,,81161834,Albert Pinto Ko Gussa Kyun Aata Hai?,Movie,2019,1
"Lil Yachty, D.C. Young Fly, Alyssa Goss, DeRay Davis, Mary Lynn Rajskub, Blac Youngsta, Lil Baby, NeNe Leakes, Mike Epps, Al Shearer",United States,12/31/2019 12:00:00 AM,"When a pair of friends uncover a weed Bible, their magical stash gets stolen, sending them on a pot-fueled quest through Atlanta to find it.",Bruce Leddy,89,Comedies,12,TV-MA,2019,,81109078,How High 2,Movie,2019,1
"Khalil Ramos, Vance Larena, Kelvin Miranda, Jan Silverio, Markus Paterson, Gabby Padilla, Sue Ramirez",Philippines,12/1/2019 12:00:00 AM,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid – until their kidnapping scheme turns deadly.,Mikhail Red,94,"Dramas, International Movies, Thrillers",12,TV-MA,2019,,81165325,Dead Kids,Movie,2019,1
Nekfeu,France,12/1/2019 12:00:00 AM,"Navigating creative pressures and personal upsets, French rapper Nekfeu sets out on a global quest for musical inspiration in this documentary.","Syrine Boulanouar, Nekfeu",95,"Documentaries, International Movies, Music & Musicals",12,TV-MA,2019,,81169158,Wandering Stars,Movie,2019,1
,Australia,12/1/2019 12:00:00 AM,This documentary examines the influence of Hong Kong's martial arts cinema on filmmaking from the Shaw Brothers to modern-day Hollywood blockbusters.,Serge Ou,108,"Documentaries, International Movies",12,TV-MA,2019,,80188823,Iron Fists and Kung-Fu Kicks,Movie,2019,1
"Rayane Bensetti, Alexia Giordano, Guillaume de Tonquédec, Mehdi Kerkouche, Brahim Zaibat, Line Renaud","France, Belgium",12/4/2019 12:00:00 AM,"After his crew breaks up, a gifted but insecure hip-hop dancer teaches at a top ballet school in Paris, where he falls for an aspiring ballerina.",Ladislas Chollat,109,"Dramas, International Movies, Romantic Movies",12,TV-MA,2019,,81188871,Let's Dance,Movie,2019,1
"Miona Hori, Hiroya Shimizu, Shotaro Mamiya, Mizuki Itagaki, Hiyori Sakurada, Kaisei Kamimura, Ai Yoshikawa, Ryohei Shima, Asuka Kurosawa, Kazuya Takahashi, Takashi Sorimachi, Riho Yoshioka",,12/28/2019 12:00:00 AM,"A quiet teen's life is shaken up when she's forced to be her arrogant neighbor's slave. He loves her, but they both have a lot to learn about trust.",Yuki Yamato,120,"Dramas, International Movies",12,TV-MA,2019,,81043135,Hot Gimmick: Girl Meets Boy,Movie,2019,1
"Prabhas, Shraddha Kapoor, Jackie Shroff, Chunky Pandey, Neil Nitin Mukesh, Arun Vijay, Vennela Kishore, Murli Sharma, Lal, Prakash Belawadi, Mahesh Manjrekar, Tinnu Anand",India,12/8/2019 12:00:00 AM,"In a fictional megalopolis, a stunning underworld theft triggers a fierce power struggle among the gangsters, with an enigmatic cop on their trail.",Sujeeth,172,"Action & Adventure, International Movies",12,TV-MA,2019,,81157385,Saaho,Movie,2019,1
"Rajesh Khanna, A.K. Hangal, Durga Khote, Jaya Bhaduri, Kali Bannerjee, Usha Kiran, Asrani, Paintal",India,12/31/2019 12:00:00 AM,A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.,Hrishikesh Mukherjee,125,"Classic Movies, Comedies, Dramas",12,TV-PG,1972,,60003405,Bawarchi,Movie,2019,1
"Vidya Sinha, Amol Palekar, Dinesh Thakur, Ranjita Thakur, Veena Gaud, Manju Maini",India,12/31/2019 12:00:00 AM,"A grad student leaves her boyfriend in Delhi for a job interview in Mumbai, where she reconnects with an old flame for whom she still has feelings.",Basu Chatterjee,104,"Comedies, Dramas, Independent Movies",12,TV-PG,1974,,81213896,Rajnigandha,Movie,2019,1
"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee",India,12/31/2019 12:00:00 AM,"Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score.",Hrishikesh Mukherjee,127,"Classic Movies, Comedies, International Movies",12,TV-PG,1975,,20255593,Chupke Chupke,Movie,2019,1
"Shabana Azmi, Girish Karnad, Vikram, Dheeraj Kumar, Shashikala, Utpal Dutt, Preeti Ganguli, Sudha Shivpuri",India,12/31/2019 12:00:00 AM,"After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice.",Basu Chatterjee,123,"Dramas, Independent Movies, International Movies",12,TV-PG,1977,,60001404,Swami,Movie,2019,1
"Amol Palekar, Bindiya Goswami, Deven Verma, Utpal Dutt, Shubha Khote, Manju Singh, Dina Pathak, Pushpa, David Abraham, Asrani",India,12/31/2019 12:00:00 AM,"When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother.",Hrishikesh Mukherjee,137,"Classic Movies, Comedies, International Movies",12,TV-PG,1979,,21028086,Gol Maal,Movie,2019,1
"Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee",India,12/31/2019 12:00:00 AM,A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,Hrishikesh Mukherjee,120,"Classic Movies, Comedies, Dramas",12,TV-PG,1980,,81213895,Khubsoorat,Movie,2019,1
"Farooq Shaikh, Naseeruddin Shah, Deepti Naval, Veeni Paranjape Joglekar, Mallika Sarabhai, Arun Joglekar",India,12/31/2019 12:00:00 AM,"Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead.",Sai Paranjape,140,"Comedies, Dramas, Independent Movies",12,TV-PG,1982,,70051840,Katha,Movie,2019,1
"Scott Innes, Billy West, Mary Kay Bergman, Frank Welker, B.J. Ward, Adrienne Barbeau, Tara Strong, Cam Clarke, Mark Hamill",United States,12/15/2019 12:00:00 AM,"When Daphne's TV show does a segment on real monsters, the gang fires up the Mystery Machine and heads to Moonscar Island, where zombies await.","Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum",77,Children & Family Movies,12,TV-PG,1998,,60004509,Scooby-Doo on Zombie Island,Movie,2019,1
"Rajpal Yadav, Amrish Puri, Kader Khan, Shashi Kala, Priyanka Chopra, Salman Khan, Akshay Kumar, Satish Shah",India,12/31/2019 12:00:00 AM,"Samir must overcome a hostile horoscope, a hot temper and a determined rival to win the heart of Rani, the love of his life.",David Dhawan,158,"Comedies, International Movies, Romantic Movies",12,TV-PG,2004,,70018445,Mujhse Shaadi Karogi,Movie,2019,1
"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin, Deepti Naval, Naseeruddin Shah, Ariadna Cabrol",India,12/15/2019 12:00:00 AM,Three friends on an adventurous road trip/bachelor party in Spain learn some lessons about themselves and each other that will change them forever.,Zoya Akhtar,154,"Comedies, Dramas, International Movies",12,TV-PG,2011,,70202336,Zindagi Na Milegi Dobara,Movie,2019,1
"Yuki Kaji, Nobuo Tobita, Michiko Neya, Mitsuru Miyamoto, Fumihiko Tachiki, Shintaro Asanuma, Takahiro Sakurai, Kana Hanazawa, Toshiyuki Toyonaga, Suzu Hirose, Shinichiro Miki, Mamoru Miyano, Takako Matsu, Masaki Suda",Japan,12/25/2019 12:00:00 AM,"Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day.","Akiyuki Shinbo, Nobuyuki Takeuchi",91,"Anime Features, Romantic Movies",12,TV-PG,2017,,81000505,Fireworks,Movie,2019,1
"Ammy Virk, Sargun Mehta, Guggu Gill, Tania, Harby Sangha, Hardeep Gill, Sukhdev Barnala, Satwant Kaur, Baljinder Kaur, Jashanjeet Gosha",India,12/1/2019 12:00:00 AM,"A young villager moves to Chandigarh and falls for his bubbly neighbor, but their love story is affected by several heartbreaking twists of fate.",Jagdeep Sidhu,137,"Dramas, International Movies, Romantic Movies",12,TV-PG,2018,,81217747,Qismat,Movie,2019,1
,"United States, Mexico",12/19/2019 12:00:00 AM,A large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.,Rodrigo Reyes,25,"Documentaries, International Movies",12,TV-PG,2019,,80244681,After the Raid,Movie,2019,1
"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree",United States,12/9/2019 12:00:00 AM,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,Robbie Countryman,29,Movies,12,TV-PG,2019,,81004748,A Family Reunion Christmas,Movie,2019,1
"John Mulaney, Alexander Bello, Tyler Bourke, Ava Briglia, Cordelia Comando, Camille De La Cruz, Oriah Elgrabli, Jake Ryan Flynn, Orson Hong, Isabella Iannelli, Jacob Laval, Suri Marrero, Zell Steele Morrow, Jonah Mussolino, Lexi Perkel, Linder Sutton",United States,12/24/2019 12:00:00 AM,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",Rhys Thomas,70,"Children & Family Movies, Comedies",12,TV-PG,2019,,81104634,John Mulaney & The Sack Lunch Bunch,Movie,2019,1
"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Sarah Douglas, Andy Lucas, Raj Bajaj, Richard Ashton, Tahirah Sharif, Joel McVeagh, Theo Devaney, Kevin Shen, Momo Yeung, Crystal Yu, Billy Angel",,12/5/2019 12:00:00 AM,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",John Schultz,85,"Children & Family Movies, Dramas, Romantic Movies",12,TV-PG,2019,,81029841,A Christmas Prince: The Royal Baby,Movie,2019,1
"Adriana Botina, Fernando Ramos, Isabella Sierra, Joavany Álvarez, Christian López, Omar Murillo, Nelson Polanía, Carlos Barbosa, José Manuel Ospina, Aída Morales",,12/15/2019 12:00:00 AM,"With a short life expectancy, a young girl uses faith and her vivid imagination to navigate adversity and create a story that impacts all around her.",Fernando Ayllón,89,"Children & Family Movies, Comedies, International Movies",12,TV-PG,2019,,81135444,Holy Expectations,Movie,2019,1
"Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor, Henry Gibson",,12/15/2019 12:00:00 AM,"When a young wizard leaves Tom to guard his priceless magic ring, Jerry gets the ring stuck on his head, igniting a series of slapstick antics.",Phil Roman,60,"Children & Family Movies, Comedies",12,TV-Y7,2001,,60022041,Tom and Jerry: The Magic Ring,Movie,2019,1
"Amber Frank, Bailey Gambertoglio, Sydney Park, Evan Agos, Kay Bess, Darcy Rose Byrnes, David Faustino, Gabriella Graves, Duncan Joiner, Katherine McNamara, Nolan North, Tiya Sircar",United States,12/6/2019 12:00:00 AM,Lucky and friends must figure out how to get home in time for Christmas when a falling boulder – and a serious snowstorm – derail their travel plans.,,46,Children & Family Movies,12,TV-Y7,2019,,81146370,Spirit Riding Free: Spirit of Christmas,Movie,2019,1
"Burnie Burns, Jason Saldaña, Gustavo Sorola, Geoff Lazer Ramsey, Joel Heyman, Matt Hullum, Dan Godwin, Kathleen Zuelch, Yomary Cruz, Nathan Zellner",United States,,"This parody of first-person shooter games, military life and science-fiction films centers on a civil war fought in the middle of a desolate canyon.",,,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",,NR,2015,13,80000063,Red vs. Blue,TV Show,,1
"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",United States,,"This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work, life and love in 1990s Manhattan.",,,"Classic & Cult TV, TV Comedies",,TV-14,2003,10,70153404,Friends,TV Show,,1
"Yuuka Nanri, Kanako Mitsuhashi, Eri Sendai, Ami Koshimizu, Hidenobu Kiuchi, Mitsuru Miyamoto, Masashi Ebara, Norihiro Inoue, Rie Nakagawa, Masami Iwasaki, Laura Bailey, Luci Christian, Caitlin Glass, Alese Johnson, Monica Rial, Jerry Jewell, Stephanie Young, Mike McFarland",Japan,,"On the surface, the Social Welfare Agency appears to help orphaned schoolgirls, but it's actually turning them into lethal agents.",,,"Anime Series, Crime TV Shows",,TV-14,2008,2,70204989,Gunslinger Girl,TV Show,,1
"Eugenio Derbez, Consuelo Duval, Luis Manuel Ávila, Regina Blandón, Miguel Perez, Barbara Torres, Dalilah Polanco, Pierre Angelo",United States,,"This irreverent sitcom featues Ludovico, Federica and their three children Bibi, Junior and Ludoviquito, living in Ciudad P. Luche.",,,"International TV Shows, Spanish-Language TV Shows, TV Comedies",,TV-14,2012,3,70243132,La Familia P. Luche,TV Show,,1
"Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye",United Kingdom,,"Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",,,"British TV Shows, TV Comedies, TV Dramas",,TV-MA,2013,2,70281022,A Young Doctor's Notebook and Other Stories,TV Show,,1
"Marc Maron, Judd Hirsch, Josh Brener, Nora Zehetner, Andy Kindler",United States,,"Marc Maron stars as Marc Maron, who interviews fellow comedians for his popular podcast, only to reveal more about his own neuroses and relationships.",,,TV Comedies,,TV-MA,2016,4,70286564,Maron,TV Show,,1
"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin, John Mahoney, Dan Butler",United States,,Frasier Crane is a snooty but lovable Seattle psychiatrist who dispenses advice on his call-in radio show while ignoring it in his own relationships.,,,"Classic & Cult TV, TV Comedies",,TV-PG,2003,11,70153412,Frasier,TV Show,,1
Anthony Bourdain,United States,,This CNN original series has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.,,,Docuseries,,TV-PG,2018,5,70304979,Anthony Bourdain: Parts Unknown,TV Show,,1
Igor Dmitriev,,,"A wacky rabbit and his gang of animal pals have fun solving problems, sharing stories and exploring their sometimes magical, always special world.",,,Kids' TV,,TV-Y,2010,2,80159925,Kikoriki,TV Show,,1
"Luke Jurevicius, Craig Behenna, Charlotte Hamlyn, Stavroula Mountzouris, Aletheia Burney",Australia,,"Imagine your worst fears, then multiply them: Figaro is a boy with any number of phobias and a highly quirky and imaginative way of dealing with them.",,,"Kids' TV, TV Comedies",,TV-Y7,2015,2,80005756,The Adventures of Figaro Pho,TV Show,,1
"Amy Poehler, Rashida Jones, Aziz Ansari, Nick Offerman, Aubrey Plaza, Chris Pratt, Jim O'Heir, Retta, Adam Scott, Rob Lowe, Paul Schneider",United States,1/13/2016 12:00:00 AM,"In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy.",,,TV Comedies,1,TV-14,2015,7,70143842,Parks and Recreation,TV Show,2016,1
"Steve Carell, John Krasinski, Jenna Fischer, Rainn Wilson, B.J. Novak, Ed Helms, Brian Baumgartner, David Denman, Creed Bratton, Kate Flannery, Mindy Kaling, Angela Kinsey, Paul Lieberstein, Oscar Nuñez, Phyllis Smith",United States,1/1/2016 12:00:00 AM,This hit comedy chronicles the foibles of disgruntled office workers – led by deluded boss Michael Scott – at the Dunder Mifflin paper company.,,,TV Comedies,1,TV-14,2012,9,70136120,The Office (U.S.),TV Show,2016,1
Chelsea Handler,United States,1/23/2016 12:00:00 AM,"In a provocative documentary series, comedian Chelsea Handler confronts personal and cultural hang-ups around four topics that fascinate her.",,,"Docuseries, Science & Nature TV",1,TV-MA,2016,1,80073486,Chelsea Does,TV Show,2016,1
David Attenborough,"United Kingdom, United States, Spain, Germany, Greece, Canada",1/28/2016 12:00:00 AM,Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.,Alastair Fothergill,,"British TV Shows, Docuseries, International TV Shows",1,TV-PG,2011,1,70261978,Frozen Planet,TV Show,2016,1
David Attenborough,"United Kingdom, United States, Spain, Germany, Greece, Canada",1/28/2016 12:00:00 AM,Documentary crew members brave Earth's most frigid regions to capture the majesty and mystery found in the chillier side of the animal kingdom.,,,"British TV Shows, Docuseries, Science & Nature TV",1,TV-PG,2012,1,80048250,The Making of Frozen Planet,TV Show,2016,1
"Anna Cummer, Janyse Jaud, Andrea Libman, Britt McKillip, Ingrid Nilson, Ashleigh Ball","France, United States, Canada",1/1/2016 12:00:00 AM,"Join Strawberry Shortcake and her berry best friends in the whimsical land of Berry Bitty City, where they learn about teamwork and decision-making.",,,Kids' TV,1,TV-Y,2015,1,70287605,Strawberry Shortcake: Berry Bitty Adventures,TV Show,2016,1
